date,description,amount
2026-06-01,Monthly Salary,95000.00
2026-06-03,Swiggy Food Order,-380.50
2026-06-04,Amazon Purchase,-1299.00
2026-06-05,Netflix,-649.00
2026-06-06,Uber Ride,-215.00
2026-06-08,Rent Transfer,-22000.00
2026-06-10,Grocery Store,-2450.75
2026-06-12,Spotify Premium,-119.00
2026-06-14,Zomato,-540.00
2026-06-16,Mutual Fund SIP,-8000.00
2026-06-18,Electricity Bill,-1650.00
2026-06-20,Flight Booking,-6800.00
2026-06-22,Coffee Shop,-200.00
2026-06-22,Coffee Shop,-200.00
2026-06-25,Insurance Premium,-3500.00
2026-06-28,Freelance Income,12000.00
